"tensorflow","tensorflow","C++","196933","75945","196933","2861","2015-11-07 01:19:20+00:00","2026-08-08 17:16:20+00:00","apache license 2.0"
"transformers","huggingface","Python","163471","34143","163471","2359","2018-10-29 13:56:00+00:00","2026-08-08 17:36:18+00:00","apache license 2.0"
"ml-for-beginners","microsoft","Python","89156","21857","89156","8","2021-03-03 01:34:05+00:00","2026-08-08 17:24:30+00:00","mit license"
"funnlp","fighting41love","Python","82346","15271","82346","52","2018-08-21 11:20:39+00:00","2026-08-08 16:33:08+00:00","other"
"awesome-machine-learning","josephmisiti","Python","73953","15603","73953","22","2014-07-15 19:11:19+00:00","2026-08-08 17:40:50+00:00","bsd 3-clause ""new"" or ""revised"" license"
"scikit-learn","scikit-learn","Python","66949","27271","66949","2115","2010-08-17 09:43:38+00:00","2026-08-08 13:17:24+00:00","apache license 2.0"
"gradio","gradio-app","Python","43314","3571","43314","199","2018-12-19 08:24:04+00:00","2026-08-08 17:22:03+00:00","mit license"
"c-plus-plus","thealgorithms","C++","34563","7848","34563","38","2016-07-16 10:19:45+00:00","2026-08-08 05:30:37+00:00","mit license"
"ml-from-scratch","eriklindernoren","Python","32436","5427","32436","76","2017-02-05 12:11:23+00:00","2026-08-08 09:39:39+00:00","creative commons attribution share alike 4.0 international"
"linkedin-skill-assessments-quizzes","ebazhanov","Python","28808","12916","28808","21","2019-07-13 19:52:56+00:00","2026-08-08 16:17:11+00:00","mit license"
"cs249r_book","harvard-edge","Python","27829","3498","27829","32","2023-09-06 19:31:06+00:00","2026-08-08 17:25:07+00:00","mit license"
"shap","shap","Python","25679","3738","25679","1022","2016-11-22 19:17:08+00:00","2026-08-08 16:32:18+00:00","apache license 2.0"
"homemade-machine-learning","trekhleb","Python","24740","4191","24740","31","2018-11-01 04:34:19+00:00","2026-08-08 03:31:42+00:00","creative commons attribution share alike 4.0 international"
"paddle","paddlepaddle","C++","24044","6014","24044","1527","2016-08-15 06:59:08+00:00","2026-08-08 15:53:36+00:00","gnu general public license v3.0"
"rasa","rasahq","Python","21288","4915","21288","152","2016-10-14 12:27:49+00:00","2026-08-07 12:41:23+00:00","mit license"
"onnx","onnx","Python","21278","3986","21278","276","2017-09-07 04:53:45+00:00","2026-08-08 10:51:26+00:00","gnu affero general public license v3.0"
"video2x","k4yt3x","C++","20775","1802","20775","125","2018-02-24 16:34:41+00:00","2026-08-08 16:41:32+00:00","mit license"
"machine-learning-for-trading","stefan-jansen","Python","20347","5496","20347","7","2018-05-09 12:33:08+00:00","2026-08-08 17:03:36+00:00","other"
"lightgbm","lightgbm-org","C++","18673","4049","18673","512","2016-08-05 05:45:50+00:00","2026-08-08 14:59:33+00:00","creative commons zero v1.0 universal"
"ml-engineering","stas00","Python","18546","1192","18546","2","2020-09-02 19:23:01+00:00","2026-08-08 15:02:50+00:00","apache license 2.0"
"ml-nlp","nlp-love","Python","17786","4632","17786","36","2019-07-05 12:49:53+00:00","2026-08-07 03:00:26+00:00","gnu general public license v3.0"
"brpc","apache","C++","17576","4129","17576","468","2017-09-04 09:28:47+00:00","2026-08-07 17:20:50+00:00","apache license 2.0"
"numpy-ml","ddbourgin","Python","16336","3750","16336","48","2019-04-06 22:29:49+00:00","2026-08-08 07:27:28+00:00","mit license"
"mml-book.github.io","mml-book","Python","15851","2837","15851","197","2017-12-08 10:52:21+00:00","2026-08-08 15:23:10+00:00","mit license"
"ggml","ggml-org","C++","15130","1762","15130","348","2022-09-18 17:07:19+00:00","2026-08-08 17:29:05+00:00","boost software license 1.0"
"imgaug","aleju","Python","14738","2451","14738","312","2015-07-10 20:31:33+00:00","2026-08-07 05:42:04+00:00","mit license"
"bullet3","bulletphysics","C++","14666","3083","14666","422","2011-04-12 18:45:08+00:00","2026-08-08 14:58:25+00:00","other"
"chatterbot","gunthercox","Python","14507","4421","14507","73","2014-09-28 14:49:00+00:00","2026-08-07 18:16:48+00:00","apache license 2.0"
"dlib","davisking","C++","14434","3447","14434","42","2014-01-29 00:45:33+00:00","2026-08-07 18:29:05+00:00","apache license 2.0"
"nni","microsoft","Python","14365","1856","14365","415","2018-06-01 05:51:44+00:00","2026-08-08 04:08:47+00:00","mit license"
"ivy","unifyai","Python","14172","5470","14172","985","2021-01-19 08:37:25+00:00","2026-08-08 13:58:41+00:00","bsd 2-clause ""simplified"" license"
"handson-ml3","ageron","Python","13893","5233","13893","106","2022-02-19 09:43:22+00:00","2026-08-08 15:40:04+00:00","apache license 2.0"
"machine-learning-zoomcamp","datatalksclub","Python","13869","3085","13869","2","2020-04-17 04:29:23+00:00","2026-08-08 12:47:43+00:00","creative commons attribution 4.0 international"
"tvm","apache","Python","13660","3946","13660","211","2016-10-12 22:20:28+00:00","2026-08-08 12:27:37+00:00","mit license"
"python-machine-learning-book","rasbt","Python","12634","4377","12634","13","2015-08-07 20:39:29+00:00","2026-08-05 13:32:08+00:00","mit license"
"cleanlab","cleanlab","Python","11616","912","11616","113","2018-05-11 01:55:21+00:00","2026-08-07 16:15:33+00:00","bsd 3-clause ""new"" or ""revised"" license"
"mlalgorithms","rushter","Python","11161","1772","11161","10","2016-10-05 06:46:45+00:00","2026-08-08 08:31:06+00:00","apache license 2.0"
"turicreate","apple","C++","11161","1119","11161","522","2017-12-01 00:42:04+00:00","2026-07-27 07:12:29+00:00","mit license"
"amazon-sagemaker-examples","aws","Python","10980","6960","10980","849","2017-10-23 05:55:22+00:00","2026-08-08 07:40:15+00:00","mit license"
"dolly","databrickslabs","Python","10805","1142","10805","6","2023-03-24 16:15:53+00:00","2026-08-08 13:57:27+00:00","mit license"
"doccano","doccano","Python","10732","1828","10732","396","2018-05-09 06:10:05+00:00","2026-08-05 13:11:04+00:00","apache license 2.0"
"mlcourse.ai","yorko","Python","10686","5704","10686","4","2017-02-27 08:32:20+00:00","2026-08-08 06:27:44+00:00","apache license 2.0"
"machine-learning","jack-cherish","Python","10364","5074","10364","7","2017-03-25 07:32:37+00:00","2026-08-07 15:08:43+00:00","mit license"
"machine-learning-notes","roboticcam","Python","10301","1823","10301","28","2018-02-15 15:42:33+00:00","2026-08-08 15:20:08+00:00","mit license"
"tpot","epistasislab","Python","10050","1564","10050","310","2015-11-03 21:08:40+00:00","2026-08-07 16:37:33+00:00","mit license"
"sktime","sktime","Python","9904","2268","9904","2404","2018-11-06 15:08:24+00:00","2026-08-08 11:33:28+00:00","mit license"
"stock-prediction-models","huseinzol05","Python","9481","3051","9481","47","2017-12-18 10:49:59+00:00","2026-08-08 14:07:12+00:00","bsd 3-clause ""new"" or ""revised"" license"
"catboost","catboost","C++","9058","1317","9058","717","2017-07-18 05:29:04+00:00","2026-08-08 00:14:12+00:00","apache license 2.0"
